datetime,footfall,is_holiday,day_of_week,is_weekend,temperature,rain_mm,promotion,holiday_type,lag_1h,lag_24h,rolling_mean_3h,rolling_mean_3d_same_hour
2023-01-03 09:00:00,28,0,1,0,29.245032112888488,0.011185973867236932,0,normal,30.0,56.0,27.0,64.66666666666667
2023-01-03 10:00:00,40,0,1,0,36.87849009172836,0.1954928851086151,0,normal,28.0,79.0,32.666666666666664,69.66666666666667
2023-01-03 11:00:00,23,0,1,0,31.996806550405974,0.33534383746084007,0,normal,40.0,58.0,30.333333333333332,64.33333333333333
2023-01-03 12:00:00,57,0,1,0,33.54153125103362,0.7357244612919284,0,normal,23.0,53.0,40.0,63.333333333333336
2023-01-03 13:00:00,45,0,1,0,31.991466938853016,0.5748928634454095,0,normal,57.0,52.0,41.666666666666664,54.333333333333336
2023-01-03 14:00:00,35,0,1,0,44.26139092254469,0.29520749369785426,0,normal,45.0,39.0,45.666666666666664,48.0
2023-01-03 15:00:00,41,0,1,0,34.93251387631033,0.1598455812792035,1,normal,35.0,51.0,40.333333333333336,47.333333333333336
2023-01-03 16:00:00,34,0,1,0,29.711445355220498,2.9257643808284897,0,normal,41.0,43.0,36.666666666666664,44.333333333333336
2023-01-03 17:00:00,49,0,1,0,39.11272456051594,0.27772089505501707,0,normal,34.0,73.0,41.333333333333336,55.666666666666664
2023-01-03 18:00:00,60,0,1,0,28.895781750144888,0.30018102421227144,0,normal,49.0,53.0,47.666666666666664,56.333333333333336
2023-01-03 19:00:00,57,0,1,0,36.04431797502378,0.08933839622727785,0,normal,60.0,55.0,55.333333333333336,60.333333333333336
2023-01-03 20:00:00,18,0,1,0,25.201649380601122,0.7919083503186541,0,normal,57.0,24.0,45.0,44.0
2023-01-03 21:00:00,29,0,1,0,28.359069755507846,0.5915661190182869,0,normal,18.0,24.0,34.666666666666664,34.333333333333336
2023-01-04 09:00:00,20,0,2,0,35.984306179345616,0.12472426472658799,0,normal,29.0,35.0,22.333333333333332,27.666666666666668
2023-01-04 10:00:00,30,0,2,0,38.69233289997705,0.04298652845118935,0,normal,20.0,44.0,26.333333333333332,34.333333333333336
2023-01-04 11:00:00,36,0,2,0,35.85684140594985,0.5704979103686202,0,normal,30.0,50.0,28.666666666666668,43.0
2023-01-04 12:00:00,41,0,2,0,34.4217585880588,0.5313975472115715,0,normal,36.0,41.0,35.666666666666664,45.0
2023-01-04 13:00:00,58,0,2,0,33.494481522053555,0.15959292433686983,0,normal,41.0,23.0,45.0,38.0
2023-01-04 14:00:00,48,0,2,0,27.607390048162863,1.5065772031925546,0,normal,58.0,35.0,49.0,33.0
2023-01-04 15:00:00,35,0,2,0,31.400778958026457,0.08188214159732543,1,normal,48.0,47.0,47.0,35.0
2023-01-04 16:00:00,24,0,2,0,32.696806145201066,0.2831117362517058,0,normal,35.0,34.0,35.666666666666664,38.666666666666664
2023-01-04 17:00:00,39,0,2,0,40.285611131094576,1.4377842163998273,0,normal,24.0,51.0,32.666666666666664,44.0
2023-01-04 18:00:00,53,0,2,0,36.718091447842305,0.27212857134677504,0,normal,39.0,23.0,38.666666666666664,36.0
2023-01-04 19:00:00,48,0,2,0,26.18479922318633,0.5087825088650514,0,normal,53.0,30.0,46.666666666666664,34.666666666666664
2023-01-04 20:00:00,19,0,2,0,36.620419846973974,0.2534121515045698,1,normal,48.0,28.0,40.0,27.0
2023-01-04 21:00:00,23,0,2,0,33.07458859791842,0.16025086503344063,0,normal,19.0,40.0,30.0,32.666666666666664
2023-01-05 09:00:00,31,0,3,0,31.615389998470206,2.066885264565887,0,normal,23.0,23.0,24.333333333333332,30.333333333333332
2023-01-05 10:00:00,42,0,3,0,38.058381444204336,0.2632522879227116,0,normal,31.0,57.0,32.0,40.0
2023-01-05 11:00:00,31,0,3,0,40.154997612479754,1.122626253424066,0,normal,42.0,45.0,34.666666666666664,41.666666666666664
2023-01-05 12:00:00,34,0,3,0,39.65640059558099,0.13065290624194523,0,normal,31.0,35.0,35.666666666666664,45.666666666666664
2023-01-05 13:00:00,62,0,3,0,30.803912383886807,0.11983004068942896,0,normal,34.0,41.0,42.333333333333336,40.333333333333336
